TopicNO	BPREF
1	0.7439024390243902
2	0.5461538461538461
3	0.6666666666666666
4	0.8441558441558441
5	0.44360902255639095
6	0.3611111111111111
7	0.6372549019607843
8	0.766497461928934
9	0.5454545454545454
10	0.7241379310344828
11	0.3
12	0.25190839694656486
13	0.29464285714285715
14	0.4012738853503185
15	0.4731182795698925
16	0.17142857142857143
17	0.7575757575757576
18	0.6341463414634146
19	0.5368421052631579
20	0.4097222222222222
21	0.6023391812865497
22	0.5686274509803921
23	0.4094488188976378
24	0.7666666666666667
25	0.29411764705882354
26	0.9420289855072463
27	0.5
28	0.8269230769230769
29	0.788235294117647
30	0.5393258426966292
