TopicNO	BPREF
1	0.5853658536585366
2	0.43846153846153846
3	0.6041666666666666
4	0.7922077922077922
5	0.39097744360902253
6	0.39444444444444443
7	0.8823529411764706
8	0.5786802030456852
9	0.8181818181818182
10	0.9310344827586207
11	0.29
12	0.29770992366412213
13	0.2767857142857143
14	0.267515923566879
15	0.8602150537634409
16	0.14285714285714285
17	0.8181818181818182
18	0.524390243902439
19	0.6947368421052632
20	0.5069444444444444
21	0.3684210526315789
22	0.6274509803921569
23	0.30708661417322836
24	0.8333333333333334
25	0.058823529411764705
26	0.9565217391304348
27	0.7577092511013216
28	0.8076923076923077
29	0.8235294117647058
30	0.42696629213483145
