TopicNO	BPREF
1	0.43902439024390244
2	0.057692307692307696
3	0.1875
4	0.012987012987012988
5	0.03007518796992481
6	0.26666666666666666
7	0.39215686274509803
8	0.38578680203045684
9	0.45454545454545453
10	0.034482758620689655
11	0.15
12	0.0
13	0.0
14	0.006369426751592357
15	0.17204301075268819
16	0.0
17	0.07575757575757576
18	0.024390243902439025
19	0.35789473684210527
20	0.3541666666666667
21	0.43859649122807015
22	0.5490196078431373
23	0.18110236220472442
24	0.05555555555555555
25	0.058823529411764705
26	0.028985507246376812
27	0.40969162995594716
28	0.5192307692307693
29	0.0
30	0.033707865168539325
