TopicNO	BPREF
1	0.7317073170731707
2	0.5192307692307693
3	0.6875
4	0.8311688311688312
5	0.42857142857142855
6	0.35555555555555557
7	0.6274509803921569
8	0.751269035532995
9	0.5454545454545454
10	0.7241379310344828
11	0.3
12	0.25190839694656486
13	0.2767857142857143
14	0.4012738853503185
15	0.4731182795698925
16	0.17142857142857143
17	0.7575757575757576
18	0.6341463414634146
19	0.5368421052631579
20	0.4097222222222222
21	0.5555555555555556
22	0.5294117647058824
23	0.4251968503937008
24	0.7555555555555555
25	0.2647058823529412
26	0.9420289855072463
27	0.4911894273127753
28	0.8461538461538461
29	0.8
30	0.550561797752809
