TopicNO	BPREF
1	0.36585365853658536
2	0.19230769230769232
3	0.375
4	0.45454545454545453
5	0.16541353383458646
6	0.1
7	0.6176470588235294
8	0.28426395939086296
9	0.09090909090909091
10	0.4827586206896552
11	0.04
12	0.05343511450381679
13	0.08928571428571429
14	0.06369426751592357
15	0.5268817204301075
16	0.05714285714285714
17	0.6666666666666666
18	0.17073170731707318
19	0.4105263157894737
20	0.13194444444444445
21	0.07017543859649122
22	0.19607843137254902
23	0.11811023622047244
24	0.25555555555555554
25	0.0
26	0.5507246376811594
27	0.3436123348017621
28	0.3269230769230769
29	0.5764705882352941
30	0.1348314606741573
